user_id,country,age,signup_date,subscription_type,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day
26248,Thailand,55,2022-05-03,Student,Active,0,0,Yes,No,3,8.0,Lo-fi,Offline Mode,Collaborative Live Queues,Smart Speaker,5,12
35068,Saudi Arabia,57,2025-09-27,Free,Active,0,0,No,No,5,6.21,Classical,Daily Mix,Concert Alerts,Smart Speaker,5,14
34591,Egypt,42,2026-11-09,Premium Individual,Active,0,0,No,No,2,11.53,Indie,Lyrics,Offline Party Mode,Mobile,12,10
16669,China,34,2022-01-30,Free,Active,1,0,No,No,4,4.31,Indie,Podcasts,Concert Alerts,Mobile,11,10
12197,Italy,53,2020-03-19,Premium Individual,Active,2,0,No,No,2,6.62,Reggae,Podcasts,HiFi Audio,Desktop,5,14
2601,Norway,36,2022-02-01,Free,Active,0,0,No,No,2,11.35,R&B,AI DJ,Collaborative Live Queues,Mobile,7,11
9048,France,19,2025-11-03,Premium Individual,Active,0,0,Yes,No,1,5.11,Bollywood,Daily Mix,Music History Analytics,Smart Speaker,9,10
2207,Norway,53,2018-01-28,Premium Family,Active,2,0,No,No,3,18.47,Funk,Podcasts,Better AI Recommendations,Tablet,8,9
25608,Sweden,46,2024-02-26,Free,Active,0,0,Yes,No,3,6.17,Bollywood,Podcasts,Offline Party Mode,Mobile,7,12
11607,South Korea,59,2026-07-21,Premium Family,Inactive,6,1,No,No,4,6.34,Pop,Podcasts,VR Concert Experience,Desktop,9,11
3625,Netherlands,31,2020-11-14,Premium Individual,Active,2,0,Yes,No,4,7.43,Pop,Discover Weekly,AI DJ,Desktop,9,11
43028,Thailand,51,2022-05-05,Premium Individual,Active,2,0,Yes,No,4,8.79,Bollywood,Daily Mix,Collaborative Live Queues,Mobile,8,7
15191,Philippines,44,2019-09-12,Premium Individual,Active,0,0,Yes,No,3,9.52,Indie,AI DJ,AI DJ,Smart Speaker,9,11
